country,year,region,gdp_growth,broadband,mobile,internet_use,gross_capital,trade_gdp,school_enroll,pop_growth,urban_pop,rule_of_law,fdi,inflation
Albania,1995,Europe & Central Asia,14.0244959350984,4.00358,0,0.0112,16.4271239839877,40.1386989518314,88.57477951049805,-0.617703658436963,38.911,-0.661545991897583,2.40956158210409,2.149257389230635
Albania,1996,Europe & Central Asia,8.00551384353483,4.00358,0.070307774,0.0322,21.1475152669262,44.4117820054663,88.57477951049805,-0.62151139901728,39.473,-0.684481799602509,2.78560468452093,2.149257389230635
Albania,1997,Europe & Central Asia,-11.1576605254893,4.00358,0.101422403,0.0486,19.7587807672594,44.7293780649181,88.57477951049805,-0.625430096900055,40.035,-0.661545991897583,2.07092049927343,2.149257389230635
Albania,1998,Europe & Central Asia,8.99380682261059,4.00358,0.173257946,0.065,22.7895725962923,47.1306266993222,88.57477951049805,-0.62933439252591294,40.601,-0.929671704769135,1.73091617857629,2.149257389230635
Albania,1999,Europe & Central Asia,12.9639268824224,4.00358,0.343114336,0.0814,24.2715109633495,49.8954184095195,88.57477951049805,-0.63335227398725,41.169,-0.661545991897583,1.25458994529204,2.149257389230635
Albania,2000,Europe & Central Asia,8.14996793452505,4.00358,0.940923,0.114097,34.0401392244169,61.6092610436407,88.57477951049805,-0.637356833943492,41.741,-1.02066767215729,3.9893207113692,2.149257389230635
Albania,2001,Europe & Central Asia,9.89019357107392,4.00358,12.4732,0.325798,38.2280453184166,64.2474462587009,88.57477951049805,-0.93847042771206,42.435,-0.661545991897583,5.10708868615592,2.149257389230635
Albania,2002,Europe & Central Asia,4.94262296313663,4.00358,27.153,0.390081,38.5753358181086,65.9914650336802,74.5389175415039,-0.299876697084691,43.501,-0.762321412563324,2.99003115858884,2.149257389230635
Albania,2003,Europe & Central Asia,5.72810598121802,4.00358,35.278,0.9719,36.7221284326025,64.8232150960777,77.751823425293,-0.374149169291299,44.573,-0.716323494911194,3.06868730168473,2.149257389230635
Albania,2004,Europe & Central Asia,5.70712308403314,4.00358,40.6495,2.42039,36.3319472329288,65.0379383187697,78.9801864624023,-0.417931377925999,45.651,-0.701032340526581,4.60782278585291,2.149257389230635
Albania,2005,Europe & Central Asia,5.67025027957055,0.0088422,49.7453,6.04389,38.3843892451909,69.1162926602322,82.9714279174805,-0.511790116421897,46.731,-0.763833165168762,3.17899814544722,2.149257389230635
Albania,2006,Europe & Central Asia,6.68998139667232,4.00358,62.6026,9.60999,37.3389564722485,72.2019089483674,84.3257675170898,-0.630911244851673,47.815,-0.703135848045349,3.55321913781567,2.149257389230635
Albania,2007,Europe & Central Asia,7.30798262922809,0.33081,76.8284,15.0361,35.6688758642439,79.9119008919954,86.2188568115234,-0.75571875541991,48.902,-0.661545991897583,5.86740351847628,2.149257389230635
Albania,2008,Europe & Central Asia,7.73056161381389,2.13837,62.1342,23.86,33.3056707670518,75.2485472798728,87.8338394165039,-0.767342959142321,49.991,-0.600079298019409,9.40665320050491,3.32087090389265
Albania,2009,Europe & Central Asia,3.38511539501225,3.10656,83.1929,41.2,32.4404588015772,73.3213575646169,89.3157196044922,-0.673894046451936,51.076,-0.49437016248703,10.9068201480963,2.2669220945083
Albania,2010,Europe & Central Asia,3.48564808644622,3.60359,91.9299,45,32.4926226328977,75.5325329687378,93.6818237304688,-0.49646196338738,52.163,-0.385760486125946,9.01744998049889,3.62604695579816
Albania,2011,Europe & Central Asia,2.73953255678821,4.40357,106.474,47,33.8376091539876,80.6989985298954,95.4705276489258,-0.269017331764615,53.247,-0.442926466464996,8.08329285826067,3.42912324722166
Albania,2012,Europe & Central Asia,1.15104401333457,5.5013,120.275,49.4,29.7150278852687,76.9683583166821,97.6086120605469,-0.165151040121679,54.33,-0.519839763641357,7.49597513325321,2.03159268395297
Albania,2013,Europe & Central Asia,1.89373834041304,6.27864,126.772,51.8,29.0566378899977,75.7506185619748,102.903209514161,-0.183211384606402,55.387,-0.518828868865967,9.80035898039468,1.93762080205226
Albania,2014,Europe & Central Asia,2.45213157165934,7.16191,115.701,54.3,28.3047822758213,75.0212023084129,103.321377531566,-0.207046999760594,56.423,-0.311199098825455,8.64846635716115,1.62586504402611
Albania,2015,Europe & Central Asia,2.52583093525412,8.37878,117.33,56.9,27.8134648405134,71.2794476606014,102.440729325166,-0.291205786840436,57.434,-0.31968680024147,8.62740636982337,1.89617402592365
Algeria,1995,Middle East & North Africa,1.67474517206692,2.30485,0.016472352,0.00177,30.9085562401555,55.1910052081435,59.5076599121094,2.06869750539347,55.997,-0.804650962352753,2.39438994406772e-6,4.217636730196495
Algeria,1996,Middle East & North Africa,2.08184989450046,2.30485,0.040366216,0.00174,25.6784142626908,53.7051478767794,58.9312896728516,1.95770195001196,56.774,-1.21819484233856,0.575183341190148,4.217636730196495
Algeria,1997,Middle East & North Africa,-0.767068614422456,2.30485,0.059031014,0.0103,22.4469725267253,52.2439115059386,58.7424392700195,1.86401965879386,57.544,-0.804650962352753,0.539669753188526,4.217636730196495
Algeria,1998,Middle East & North Africa,3.43950503955708,2.30485,0.060151043,0.0202,27.1484816562939,45.0944505585079,74.47684478759766,1.59253627896162,58.313,-1.19836211204529,1.25882531840803,4.217636730196495
Algeria,1999,Middle East & North Africa,1.77694241787516,2.30485,0.237262911,0.2,26.2476846690659,50.9291093379713,64.7455978393555,1.3885288478211,59.118,-0.804650962352753,0.599498299671608,4.217636730196495
Algeria,2000,Middle East & North Africa,2.35726435010288,2.30485,0.278282,0.491706,23.5639069007647,62.8583436360347,64.5954208374023,1.3996685583388,59.919,-1.24584436416626,0.511220957154505,4.217636730196495
Algeria,2001,Middle East & North Africa,1.59517814379704,2.30485,0.31917,0.646114,29.4025185679593,54.5296491177208,68.763298034668,1.37329134127777,60.712,-0.804650962352753,1.87349238167778,4.217636730196495
Algeria,2002,Middle East & North Africa,4.00705031536965,2.30485,1.41805,1.59164,32.422149775997,56.5896052814114,72.5830688476562,1.33039477696898,61.501,-0.636733174324036,1.73118897497205,4.217636730196495
Algeria,2003,Middle East & North Africa,5.09333212662064,0.0559426,4.49694,2.19536,32.0808213874135,57.7691353044878,75.4358673095703,1.32961524189621,62.284,-0.605380773544312,0.868036712018978,4.217636730196495
Algeria,2004,Middle East & North Africa,3.05086148235007,0.110334,14.9637,4.63448,32.8514476424712,61.3579975707176,79.6298599243164,1.39644042529783,63.061,-0.616287350654602,0.962586875552012,4.217636730196495
Algeria,2005,Middle East & North Africa,3.86890214242119,0.407741,41.2614,5.84394,31.175075513314,66.8404602203906,81.8563690185547,1.46330884553002,63.83,-0.773644506931305,1.07990333031143,4.217636730196495
Algeria,2006,Middle East & North Africa,1.32618894855368,0.505599,62.4502,7.37598,30.3621197641824,65.9152919677621,83.4811935424805,1.54127363754195,64.593,-0.775204539299011,1.49572335207526,2.31149918514424
Algeria,2007,Middle East & North Africa,1.39346833661227,0.839555,80.6177,9.45119,33.5715459915764,67.5454733939763,73.517822265625,1.6690716779345,65.348,-0.791886448860168,1.1838181536619,3.678995747417
Algeria,2008,Middle East & North Africa,0.652527943948144,1.393,77.6388,10.18,35.5369334164485,71.0284922505261,80.2311401367188,1.81885306168943,66.097,-0.767772257328033,1.46277344571787,4.85859062814938
Algeria,2009,Middle East & North Africa,-0.72042057547074,2.30485,92.2215,11.23,46.0669131037696,64.2847547238993,96.3929595947266,1.91588522187232,66.826,-0.82556688785553,1.82742164668261,5.73706036145628
Algeria,2010,Middle East & North Africa,2.77921908194712,2.487,90.5824,12.5,43.2868274827225,63.4912159928425,100.739776611328,1.9470588317966,67.54,-0.816793382167816,1.29390467487817,3.91106195534029
Algeria,2011,Middle East & North Africa,1.00399237129356,2.65762,96.5113,14.9,39.7538222142123,62.2200899610479,103.184272766113,1.9568943735315,68.236,-0.845334827899933,1.17767329101171,4.5242115050527
Algeria,2012,Middle East & North Africa,0.379563284418055,3.06737,99.6853,18.2,40.2823786992933,60.7576393340605,74.47684478759766,1.99280790148967,68.915,-0.812617719173431,0.660551953898791,8.8914509106232
Algeria,2013,Middle East & North Africa,0.548743629610698,3.3321,102.871,22.5,44.5820108403061,59.151008157244,74.47684478759766,2.01953115835273,69.576,-0.69340193271637,0.736559065111634,3.25423910998842
Algeria,2014,Middle East & North Africa,2.00005200987388,4.08032,110.44,29.5,46.8984793363791,56.9235419669867,74.47684478759766,2.03786524232338,70.221,-0.804650962352753,0.628688968391006,2.91692692067458
Algeria,2015,Middle East & North Africa,1.09962061859601,5.6706,108.016,38.2,51.779612559441,53.2046225904145,74.47684478759766,2.05624795728459,70.848,-0.941968441009521,-0.286832290676438,4.78444700693894
Angola,1995,Sub-Saharan Africa,11.2224490340233,0.0703994,0.01433269,1.321685,27.87694874108875,103.740588301419,16.1495990753174,3.33998873703717,44.169,-1.3751335144043,8.52948883994992,13.3052101780032
Angola,1996,Sub-Saharan Africa,9.76893815229339,0.0703994,0.02292929,7.76e-4,27.87694874108875,103.740588301419,16.1495990753174,3.3816089218138,45.346,-1.63046932220459,2.39900196315229,13.3052101780032
Angola,1997,Sub-Saharan Africa,3.69291015107152,0.0703994,0.04742069,0.00567,27.87694874108875,103.740588301419,16.1495990753174,3.39551504166387,46.525,-1.3751335144043,5.38231611756009,13.3052101780032
Angola,1998,Sub-Saharan Africa,1.2453317264635,0.0703994,0.063903735,0.0185,27.87694874108875,103.740588301419,11.8974800109863,3.34679546644871,47.71,-1.52733862400055,17.1216116785351,13.3052101780032
Angola,1999,Sub-Saharan Africa,-1.13079877894916,0.0703994,0.151221568,0.072,27.87694874108875,103.740588301419,11.7708902359009,3.29527663572252,48.897,-1.3751335144043,40.1672485630423,13.3052101780032
Angola,2000,Sub-Saharan Africa,-0.302928309232016,0.0703994,0.159347,0.105046,27.87694874108875,103.740588301419,13.3690700531006,3.31228746945312,50.087,-1.60150170326233,9.62386615038711,13.3052101780032
Angola,2001,Sub-Saharan Africa,0.769184668379879,0.0703994,0.447836,0.136014,27.87694874108875,103.740588301419,15.0013399124146,3.35370941359163,51.274,-1.3751335144043,24.0090757001341,13.3052101780032
Angola,2002,Sub-Saharan Africa,9.85780236264033,0.0703994,0.807955,0.270377,30.4931731253335,105.301742600149,16.1495990753174,3.40747615681454,52.461,-1.63334381580353,11.4061919077418,13.3052101780032
Angola,2003,Sub-Saharan Africa,-0.545677504743708,0.0703994,1.95054,0.370682,30.4511114121029,103.901229551372,16.1495990753174,3.49334277776736,53.645,-1.48285591602325,20.0810144391158,98.2241436573304
Angola,2004,Sub-Saharan Africa,7.03277266902487,0.0703994,3.9784,0.464815,30.8936755014177,103.579947051466,16.1495990753174,3.59445752400652,54.827,-1.52091634273529,9.32923929577731,43.5421067519687
Angola,2005,Sub-Saharan Africa,10.9112436267704,0.0703994,8.35159,1.14337,27.5565797901657,106.590962129525,16.1495990753174,3.64626893356444,56,-1.46479499340057,-3.52665717856752,22.953513851394
Angola,2006,Sub-Saharan Africa,7.51431491457519,0.0372615,15.2614,1.5,23.3007709224417,94.6251593320477,16.1495990753174,3.68489201610335,56.764,-1.31127274036407,-0.072000996349673,13.3052101780032
Angola,2007,Sub-Saharan Africa,9.82194382769093,0.056308,23.8782,1.7,25.730579355956,108.060067893978,16.1495990753174,3.74258021023639,57.524,-1.3751335144043,-1.36876239523004,12.2514974459487
Angola,2008,Sub-Saharan Africa,7.04803548922715,0.0738786,31.3891,1.9,30.804053314644,121.364708453698,22.7990207672119,3.77828976645524,58.282,-1.37856388092041,1.89631389674864,12.4758291326398
Angola,2009,Sub-Saharan Africa,-2.90228933630272,0.0669202,36.1789,2.3,42.8208531628244,122.446144139295,24.3320198059082,3.80156187494836,59.034,-1.23628926277161,3.13666068307167,13.7302839288409
Angola,2010,Sub-Saharan Africa,0.45432400635525,0.064392,40.3668,2.8,28.1973176920118,104.123635308845,28.2108038778932,3.85109824897149,59.783,-1.27295327186584,-3.85111149953586,14.4696564932577
Angola,2011,Sub-Saharan Africa,-0.473683326061277,0.065310000000000007,49.8515,4.7,26.4243531675539,99.9825063313368,29.6869517832747,3.8879459971363,60.528,-1.27705323696136,-2.70487323645008,13.4824679218511
Angola,2012,Sub-Saharan Africa,4.40758705942397,0.0814699,50.7801,7.7,26.6675773725046,91.8000973419114,16.1495990753174,3.88358355528674,61.268,-1.30477690696716,-1.14376777921662,10.2779049218839
Angola,2013,Sub-Saharan Africa,0.990675718833643,0.0851575,50.7735,13,26.1429704757952,86.8119327587926,16.1495990753174,3.84998068971631,62.002,-1.29094779491425,-5.38013099536349,8.77781429332625
Angola,2014,Sub-Saharan Africa,0.981943967654047,0.323076,51.7384,21.3623,27.5004591988793,79.3329227828897,16.1495990753174,3.73272806660513,62.731,-1.07495403289795,2.69000564690096,7.2803873036112
Angola,2015,Sub-Saharan Africa,-2.63070183214901,0.545394,49.3097,22,34.2024908297612,62.8885160890192,16.1495990753174,3.60507162233632,63.446,-1.03065872192383,11.0813390258994,9.35597215533781
Armenia,1995,Europe & Central Asia,8.74315812160908,0.910187,0,0.0527,20.8085693442274,86.1148570667578,86.8721923828125,-1.70949509169847,66.057,-0.438531368970871,1.72442275716256,3.73169119261694
Armenia,1996,Europe & Central Asia,6.79679451868454,0.910187,0.009093946,0.0946,21.0954471662552,79.2295601199241,82.2040481567383,-0.87594292287609,65.781,-0.469098508358002,1.10020924585916,3.73169119261694
Armenia,1997,Europe & Central Asia,4.35375293195368,0.910187,0.152838922,0.112,23.2656792922768,78.5477450545048,80.2212219238281,-0.994517948945717,65.504,-0.438531368970871,3.16805363549908,3.73169119261694
Armenia,1998,Europe & Central Asia,8.56710543978232,0.910187,0.241656509,0.129,22.6863518699904,71.8424518815414,68.4525375366211,-1.1739815592385,65.226,-0.380856782197952,12.2707797402698,3.73169119261694
Armenia,1999,Europe & Central Asia,4.64095231749397,0.910187,0.25455157899999997,0.971,20.7688804703858,70.5604791440404,71.0547409057617,-1.28976124297341,64.947,-0.438531368970871,6.61258080861414,3.73169119261694
Armenia,2000,Europe & Central Asia,4.13075887426186,0.910187,0.55944,1.30047,21.92233140183,72.2333302273367,86.0512008666992,1.68478463633775,64.666,-0.50101625919342,5.45043315573561,3.73169119261694
Armenia,2001,Europe & Central Asia,9.91735475361723,1.94531e-4,0.826884,1.63109,22.9043552862001,69.8642663925336,86.7833099365234,-0.289138848080883,64.385,-0.438531368970871,3.29806741743693,3.73169119261694
Armenia,2002,Europe & Central Asia,13.6245265308361,2.61812e-4,2.335,1.96041,25.4182967616869,73.9845018432309,86.8721923828125,-0.374321979277905,64.236,-0.438531368970871,4.65949974895044,3.73169119261694
Armenia,2003,Europe & Central Asia,14.6197014940959,3.29059e-4,3.76374,4.57522,28.3479499830947,80.0513676022426,86.8721923828125,-0.542125640304999,64.137,-0.302864640951157,4.37657009672654,3.73169119261694
Armenia,2004,Europe & Central Asia,11.1144901880771,0.0330847,6.72643,4.89901,29.1225577000264,73.0706339919371,88.6511611938477,-0.554559192905497,64.038,-0.481950610876083,6.90990201303095,3.73169119261694
Armenia,2005,Europe & Central Asia,14.5697018806234,0.0661932,10.5791,5.25298,35.765438994108,70.1397385835334,92.0563430786133,-0.586251738490671,63.938,-0.388776749372482,5.96010687349519,3.73169119261694
Armenia,2006,Europe & Central Asia,13.8986537041733,0.910187,42.1272,5.63179,42.2254576837845,61.0301379818566,95.2676467895508,-0.615288463799411,63.839,-0.544567346572876,7.30731450469503,3.73169119261694
Armenia,2007,Europe & Central Asia,14.4208244850475,0.1311,63.0765,6.02125,44.3516229755633,56.9750470853147,96.8182601928711,-0.631969382170487,63.739,-0.496518045663834,7.25233231640274,3.73169119261694
Armenia,2008,Europe & Central Asia,7.60294775074826,0.466184,48.7164,6.21,47.9428358213473,54.5423279613666,96.5329437255859,-0.655422477046795,63.64,-0.337751358747482,8.09234920917782,3.73169119261694
Armenia,2009,Europe & Central Asia,-13.5088421403002,1.35419,74.4012,15.3,41.1450508029059,57.2742357441995,102.957763671875,-0.685835845567342,63.54,-0.468710690736771,8.7886942137873,3.73169119261694
Armenia,2010,Europe & Central Asia,2.91158696816194,3.19289,131.875,25,38.8147549853077,64.642975973633,107.732391357422,-0.693856288987436,63.44,-0.48135831952095,5.7160373406455,3.73169119261694
Armenia,2011,Europe & Central Asia,5.28437530828725,5.49292,109.85,32,31.9217989798477,69.4355736620453,94.8774032592773,-0.556590762896162,63.34,-0.437706410884857,6.44066805582743,7.65000807859295
Armenia,2012,Europe & Central Asia,7.33470454115984,7.25581,113.697,37.5,24.6809527475996,75.9616759606704,86.8721923828125,-0.125578337719131,63.24,-0.418281972408295,4.67672759828402,2.55802007757904
Armenia,2013,Europe & Central Asia,3.37178358702843,8.31673,114.5,41.9,22.1524900726313,77.5550481598824,86.8721923828125,-0.0694662703047376,63.164,-0.340888947248459,3.11193185351156,5.78966778544654
Armenia,2014,Europe & Central Asia,3.88187670110254,9.33763,118.365,54.6228,21.2830406859193,75.778866962639,86.5204010009766,-0.271712284863074,63.112,-0.417726755142212,3.50211415457343,2.98130868933676
Armenia,2015,Europe & Central Asia,3.51599547257022,9.80149,118.599,59.1008,20.7305301265762,71.6820743427575,86.442138671875,-0.305729335573084,63.085,-0.462551325559616,1.74473701796819,3.73169119261694
Aruba,1995,Latin America & Caribbean,-0.292643137693034,18.237,2.22972096,29.45,31.1336717428088,171.362098138748,99.5355529785156,2.80831670109337,48.767,1.13178139925003,-0.418781725888323,2.9221881275909602
Aruba,1996,Latin America & Caribbean,-2.73386429761131,18.237,3.777528741,2.77,28.4615384615385,175.344129554656,99.5355529785156,3.95074287081186,48.356,1.13178139925003,6.16194331983805,2.9221881275909602
Aruba,1997,Latin America & Caribbean,2.97839664366641,18.237,4.155977424,29.45,30.2334062727936,168.781911013858,99.5355529785156,3.87475976651232,47.946,1.13178139925003,12.9139314369073,2.9221881275909602
Aruba,1998,Latin America & Caribbean,-0.487159557964318,18.237,6.377808073,29.45,31.7007715531701,163.267359946327,99.5355529785156,2.4607540856619,47.536,1.13178139925003,6.81314994968126,2.9221881275909602
Aruba,1999,Latin America & Caribbean,-0.12596572599432,18.237,13.81422174,4.51,30.8690012970169,164.559014267185,99.5355529785156,1.35648590551186,47.127,1.13178139925003,27.1368352788586,2.9221881275909602
Aruba,2000,Latin America & Caribbean,6.51922376579444,18.237,16.8993,15.4428,25.4941135775374,145.072879516204,99.5355529785156,1.03081685259869,46.717,1.13178139925003,-6.82872717296655,2.9221881275909602
Aruba,2001,Latin America & Caribbean,3.21240568796392,18.237,58.69,17.1,23.9991775312859,140.391108618306,97.5565338134766,0.93503293482838,46.339,1.13178139925003,-14.0750555726085,2.9221881275909602
Aruba,2002,Latin America & Caribbean,-1.62809915245946,18.237,67.6304,18.8,26.629979781872,133.230771421249,100.163063049316,0.692051826700269,45.972,1.13178139925003,16.9490560127573,3.3152467858543
Aruba,2003,Latin America & Caribbean,-0.0338394415310148,1.51555,75.7794,20.8,28.8817040907799,132.794291274023,101.929069519043,1.13822893851655,45.606,1.13178139925003,7.81642871198372,3.65636507938414
Aruba,2004,Latin America & Caribbean,5.02691151582482,7.46999,105.553,23,28.4513918843887,132.430929795173,100.940940856934,2.13535781849357,45.24,0.915526807308197,-4.68763897846137,2.52912946932762
Aruba,2005,Latin America & Caribbean,-2.93082349408309,13.0256,109.75,25.4,33.160442199198,145.050280144237,99.2053527832031,2.59075665615847,44.875,0.847438395023346,-8.8049356352136,3.39778677828807
Aruba,2006,Latin America & Caribbean,-0.673257700327071,14.627,114.297,28,34.5191296544988,141.042626734626,99.8657531738281,1.79663785158395,44.511,0.810431301593781,8.92046662114826,3.60802438784539
Aruba,2007,Latin America & Caribbean,2.32267757939195,16.5612,117.6,30.9,31.746651038248,139.972309491093,106.236473083496,0.746664790352749,44.147,0.826464056968689,-17.5903165005138,5.39256784475513
Aruba,2008,Latin America & Caribbean,1.06177235220186,18.8089,123.517,52,32.1030557196345,139.110149824701,97.0627517700195,0.762933470313563,43.783,0.847226142883301,0.664175810874169,8.95598705177788
